en,ro
"If you ironed Switzerland, it would be bigger than Germany.","Dacă începem să călcăm Elveția, devine mare cât Germania."
We got to Washington in time for the cherry blossoms.,Am ajuns la Washington din timp pentru cireșii înfloriți.
She wouldn't even speak to him.,Ea nici nu ar fi vorbit cu el.
Are you sure we're talking about the same Tom?,Ești sigur că vorbim despre același Tom?
"Oh, I'm sorry.","O, îmi pare rău."
Tom understands both French and English.,Tom înțelege și franceză și engleză.
He came to my office yesterday.,El a venit ieri pe la biroul meu.
I was wrongfully punished.,Am fost pedepsit pe nedrept.
"In that case, you are right.",În cazul acela ai dreptate.
He quit without notice.,El a renunțat fără niciun anunț.
She worships him and the ground he walks on.,Ea îl venerează pe el și pe pământul pe care el îl calcă.
I saw a house with a red roof.,Am văzut o casă cu un acoperiș roșu.
What's your favorite newspaper?,Care e ziarul tău preferat?
She asked for my help.,Ea mi-a cerut ajutorul.
You'd better believe.,Ar fi bine să crezi.
I'm a gym teacher.,Sunt un profesor de sport.
How old are you now?,Ce vârstă ai acum?
An ugly duckling became a graceful swan.,O răţuşcă urâtă a devenit o lebădă graţioasă.
They don't scare me.,Ei nu mă sperie.
That's so wrong.,Asta este așa de greșit.
Are you afraid of death?,Ți-e frică de moarte?
I think I understood.,Cred că am înţeles.
I took a risk when I made the investment.,Mi-am asumat niște riscuri atunci când am făcut investiția.
Tom has been crying for a long time.,Tom a plâns de mai mult timp.
This soil is moist.,Acest sol e umed.
Tom slipped on the icy sidewalk.,Tom a alunecat pe trotuarul înghețat.
I didn't know Tom could cook so well.,Nu știam că Tom poate găti așa bine.
Dan didn't hesitate even a second to do that.,"Dan, nu a ezitat nici măcar o secundă să facă asta."
I'm fifteen. Why do you ask?,Am cincisprezece ani. De ce întrebi?
The doctor gave Tom a sedative.,Doctorul i-a dat lui Tom un calmant.
Who is his father?,Ce este tatăl lui?
I am an office worker.,Fac muncă de birou.
The sky cleared up soon after the storm.,Cerul s-a înseninat imediat după furtună.
They are studying for the test.,Studiază pentru test.
Mary gets along with her in-laws.,Mary se înțelege bine cu socrii ei.
Have a nice weekend.,Un weekend plăcut!
Push!,Împinge!
They had no alternative but to retreat.,Nu au avut altă alternativă decât să se retragă.
We all wished for peace.,Cu toţii ne dorim pace.
I dreamed of my native village.,Am visat satul meu natal.
My brother is intelligent.,Fratele meu este inteligent.
I hate the winter.,Urăsc iarna.
I can't cut my nails and do the ironing at the same time!,Nu-mi pot tăia unghiile și să calc în același timp!
What time do you get up in the morning?,La ce oră te trezești dimineața?
He bent his head low.,El și-a aplecat capul.
I have a guilty consciousness.,Am remușcări.
She doesn't own many books.,Ea nu are foarte multe cărți.
He is less patient than his brother.,Este mai puţin răbdător decât fratele său.
I am a teacher.,Sunt profesor.
They went crazy.,Au înnebunit.
Do you know the girl standing by the window?,O cunoști pe fata care stă la fereastră?
They made many charges.,Ei au făcut multe acuzații.
I swim almost every day.,Înot aproape în fiecare zi.
You need to apologize to Tom.,Trebuie să-i ceri scuze lui Tom.
I wasn't embarrassed.,Nu am fost jenat.
There are no rules without exceptions.,Nu există regulă fără excepţie.
Impossible.,Imposibil.
Can you bring her back to life?,Poți s-o aduci din nou la viață?
I've gotten divorced again.,Am divorțat din nou.
The acceptability of a social gesture depends on innumerable cultural factors.,Acceptarea unui gest social depinde de nenumărați factori culturali.
"If you buy in bulk, it's 20% cheaper.",Dacă luați la vrac este cu 20% mai ieftin.
Could you please speak more quietly? I feel hungover.,Poți să vorbești mai încet? Sunt mahmur.
I would like to buy some aspirin.,Aș vrea să cumpăr niște aspirină.
Tom will probably be busy Monday.,Tom va fi probabil ocupat luni.
How did you come up with this crazy idea?,Cum ți-a venit această idee nebunească?
"Unfortunately, it's true.",Din păcate e adevărat.
Who is their homeroom teacher?,Cine e dirigintele lor?
The instinct for survival is innate.,Instinctul pentru supraviețuire este înnăscut.
Tom acknowledged that he was hoping to become the new class president.,Tom a recunoscut că spera să devină noul președinte al clasei.
Tom always makes fun of John because of his dialect.,Tom mereu râde de Ion din cauza dialectului lui.
He's a pushover.,E un fraier.
We're here to protect them.,Suntem aici să-i protejăm.
"May I have your phone number, please?","Îmi poți da numărul tău de telefon, te rog?"
You should have seen it.,Ar fi trebuit să-l fi văzut.
How long are you planning to stay?,Cât timp ai de gând să stai?
I can't sell at this price.,Nu pot vinde la acest preț.
I was going on foot.,Eu mergeam pe jos.
His opinions carry weight.,Opiniile lui sunt importante.
Call me if you have difficulties.,Sună-mă dacă ai probleme.
All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.,Toate ființele umane se nasc libere și egale în demnitate și în drepturi. Ele sunt înzestrate cu rațiune și conștiință și trebuie să se comporte unele față de altele în spiritul fraternității.
The anaesthetist worked in Great Britain.,Anestezistul a lucrat în Marea Britanie.
It's interesting that you speak French. I also speak it.,Este interesant că vorbești franceză. Chiar și eu vorbesc.
"Welcome to Wikipedia, the free encyclopedia that anyone can edit.","Bun venit la Wikipedia, enciclopedia liberă la care poate contribui oricine."
Nobody here knows me.,Nimeni de aici nu mă cunoaște.
I asked for her.,Am întrebat de ea.
White to play and win.,Albul mută şi câştigă.
No controversy is ever over for good. It will always resurface at some point.,"Nici un fel de controversă nu se încheie pentru totdeauna. Întotdeauna va reapărea, la un moment dat."
"Compared with yours, my car is small.","Comparată cu a ta, maşina mea este mică."
The night was so chilly that when I returned I was almost frozen.,"Noaptea a fost atât de rece încât, atunci când m-am întors, eram aproape îngheţat."
It is John's apple.,Este mărul lui John.
"As for our students, one has already left for Bucharest, and one is on her way.","Cât despre studenți, unul a plecat deja la București și una e pe drum."
I don't like any of these records.,Nu-mi place niciuna dintre aceste înregistrări.
"If anyone was to ask what the point of the story is, I really don't know.","Dacă cineva ar întreba care e scopul poveștii, sincer nu știu."
I have a friend.,Am un prieten.
My name is Jack.,Numele meu este Jack.
They criticized each other.,Ei s-au criticat reciproc.
What if you gave a speech and nobody came?,Ce s-ar întâmpla dacă ai susține un discurs și n-ar veni nimeni?
Even a child can answer it.,Și un copil ar putea să răspundă.
You must account for your conduct.,Trebuie să dai explicații pentru comportamentul tău.
May I swim?,Pot să înot?
I just can't get along with him.,Pur și simplu nu mă înțeleg cu el.
Call me this afternoon.,Sună-mă în după-amiaza asta.
Get in the car.,Urcă în mașină.
We need your help!,Avem nevoie de ajutorul vostru!
You're my friend.,Tu eşti prietenul meu.
Once I had the chance to visit Paris.,Odată am avut șansa să vizitez Parisul.
The judge decided against the plaintiff.,Judecătorul a decis împotriva reclamantului.
Surely Tom can be trusted.,Cu siguranță că Tom poate fi de încredere.
Try to understand me.,Încerci să mă înţelegi?
Cows eat grass.,Vacile mănâncă iarbă.
Emily ate an orange.,Emily a mâncat o portocală.
You have to abide by the laws.,Trebuie să respectați legile.
You can't live without water.,Nu poți exista fără apă.
Being objective means not telling everybody whose side you are on.,A fi obiectiv înseamnă să nu spui tuturor de partea cui ești.
Tell me what happened.,Spune-mi ce s-a întâmplat.
I wish I could spend more time with my family.,Mi-aș dori să pot petrece mai mult timp cu familia mea.
This is simply preposterous.,Acest lucru este pur și simplu absurd.
I grew up in this small town.,Am crescut în acest oraș mic.
Tom's family moved around quite a bit when he was a kid.,Familia lui Tom s-a tot mutat când el era copil.
I received your letter the day before yesterday.,Am primit scrisoarea dumneavoastră alaltăieri.
Do you have a table on the patio?,Ai o masă pe terasă?
I'm pleased to meet you.,Mă bucur să vă cunosc.
Choose.,Alege.
I once wanted to be an astrophysicist.,Odată am vrut să fiu astrofizician.
This medicine will cure you of that disease.,Acest medicament te va vindeca de boală.
Tom doesn't care how Mary dresses.,Lui Tom nu-i pasă cum se îmbracă Mary.
I never worried about Tom.,Nu m-am îngrijorat deloc pentru Tom.
How deep is your love?,Cât de profundă este dragostea ta?
You can't teach old dogs new tricks.,Nu poți învăța ursul bătrân să joace.
Tom came to Japan from Australia.,Tom a venit în Japonia din Australia.
I don't care what you think.,Nu-mi pasă ce crezi tu.
The water shortage is due to the weather.,Deficitul de apă este din cauza vremii.
Probably.,Probabil.
"To edit a sentence, click on the pencil icon.","Pentru a edita o propoziție, dați clic pe pictograma creion."
I was weary of doing the same thing over and over again.,Eram obosit să tot fac acelaşi lucru în repetate rânduri.
They were scattered in all directions.,Ei au fost împrăștiați în toate direcțiile.
Tom was very lucky.,Tom a fost foarte norocos.
Don't make abrupt moves.,Nu face mișcări bruște.
You suck dude! I have to tell you everything!,"Amice, ești idiot! Trebuie să-ți spun eu totul!"
I'd like to kiss you.,Mi-ar plăcea să te sărut.
Even my mom knows.,Până și mama știe.
How happy I am today!,Cât de fericit sunt astăzi!
A cubic meter corresponds to 1000 liters.,Unui metru cub îi corespund 1000 de litri.
Some animals will not breed when kept in cages.,Unele animale nu se înmulțesc când sunt ținute în cușcă.
"I tried to break down the door, but I found out that it is impossible.","Am încercat să spar uşa, dar am descoperit că e imposibil."
We should call the doctor.,Ar trebui să chemăm doctorul.
His father calls him Tom.,Tatăl lui îi zice Tom.
He had his share of luck.,El a avut partea lui de noroc.
It would be fun to see how things change over the years.,Ar fi distractiv să vezi cum se schimbă lucrurile de-a lungul anilor.
I'm too old for this world.,Sunt prea bătrân pentru lumea asta.
We use shared facilities.,Folosim facilități comune.
I had a long conversation with her.,Am avut o vorbire lungă cu ea.
I was bitten by a lot of insects in the forest.,Am fost muşcat de o mulţime de insecte în pădure.
I speak a little Japanese.,Vorbesc puţină Japoneză.
I'm sure you'll succeed.,Sunt sigur că vei reuși.
Are you in a bad mood or something?,Ești într-o stare de spirit proastă cumva?
He had his socks on inside out.,Avea şosetele pe dos.
It's just a picture I downloaded from the Internet.,E doar o poză pe care am descărcat-o de pe Internet.
Do you need an ambulance?,Ai nevoie de o salvare?
There is a cat in the kitchen.,În bucătărie este o pisică.
The weather got cold.,Vremea s-a făcut rece.
Why did I have to be here?,De ce a trebuit să fiu aici?
Almost everyone came.,Aproape toată lumea a venit.
Tom's tired.,Tom e obosit.
I want to say something to you.,Vreau să-ți zic ceva.
I'm looking for an easy-to-read manga with furigana.,"Caut o revistă de benzi desenate uşor de citit, scrisă cu furigana."
It was an eye-opening experience.,A fost o experiență care mi-a deschis ochii.
What should I eat?,Ce să mănânc?
I go to the mountain.,Mă duc la munte.
"There are people which have been given to taste only poison, to which any surprise is a hurtful one and any acquaintance becomes a new torture opportunity.","Există oameni cărora le este dat să guste numai otrava din lucruri, pentru care orice surpriză este o surpriză dureroasă şi orice experienţă un nou prilej de tortură."
Tom has already seen the best years of his life.,Tom a trecut de cei mai buni ani ai vieții lui.
I speak for all people.,Vorbesc pentru toți oamenii.
I told them to send me another ticket.,Le-am spus să-mi trimită un alt bilet.
Who composed this?,Cine a compus asta?
Maybe I should come back another time.,Poate că ar trebui să mă întorc altă dată.
She's the breadwinner in this family.,Ea este cea care câștigă pâinea în familia aceasta.
I think it's highly unlikely that you'll be able to do that by yourself.,Cred că e prea puțin probabil că tu vei putea să faci asta singur.
The snowstorm gradually abated.,Furtuna de zăpadă s-a potolit treptat.
"Travelling to Finland would be so amazing. I've heard it's a beautiful place, full of marvellous people, endless forests and pristine lakes.","Călătoria în Finlanda ar fi atât de uimitoare. Am auzit că este un loc frumos, plin de oameni minunați, cu păduri nesfârșite și lacuri curate."
Please be polite.,Te rugăm să fii politicos.
Tom is painting.,Tom zugrăvește.
It's raining again!,Iar plouă!
I love math.,Îmi place matematica.
Be honest with me.,Fii onest cu mine.
She is far from beautiful.,E departe de a fi frumoasă.
It snowed in Osaka.,A nins în Osaka.
Fear is pain arising from the anticipation of evil.,Frica este durerea ce apare din anticiparea răului.
Watch your step in dark alleys.,Ai grijă pe unde calci pe aleile întunecate.
You need to pay in advance.,Trebuie să plăteşti în avans.
The assessment is being contested.,Evaluarea este contestată.
There were no laws for people to abide by.,Nu existau legi pe care oamenii să le respecte.
Take your umbrella with you.,Ia-ți umbrela cu tine.
I can give it a shot.,Pot să încerc.
Tom is a university graduate.,Tom este absolvent de universitate.
I'm very poor.,Sunt foarte sărac.
Fight!,Luptă!
The house was ablaze.,Casa era în flăcări.
I refused to be paid.,Am refuzat să mi se facă plata.
Tom had Mary wash the car.,Tom i-a cerut lui Mary să spele mașina.
Tom is with his friends.,Tom este cu prietenii lui.
She set off an hour ago.,Ea a plecat acum o oră.
It's about time you showed up.,Era și timpul să apari.
"Mary wants to lose some fat, but Tom thinks that she shouldn't.","Mary vrea să slăbeasca, dar Tom crede nu ar trebui să o facă."
Tom passed away on Monday.,Tom a decedat luni.
Recruitment starts this month.,Înrolările încep luna aceasta.
I'm going to wait here for Tom.,Nu-l voi aștepta aici pe Tom.
Tom's wife is still alive.,Nevasta lui Tom este încă în viață.
They ignored me.,Ei m-au ignorat.
I have two brothers.,Am 2 frați.
I don't live in Finland.,Nu locuiesc în Finlanda.
Tom told me his secret.,Tom mi-a spus secretul lui.
Tom was dirty.,Tom era murdar.
"Tomorrow, he will land on the moon.","Mâine, va ateriza pe Lună."
This penny-stock scam defrauded thousands of investors.,Această înșelăciune cu acțiuni minuscule a fraudat mii de investitori.
How deep is this lake?,Cât de adânc este lacul ăsta?
Forty people attended.,Patruzeci de persoane au participat.
I dreamt about you.,Te-am visat.
You just have to do as you're told.,Trebuie doar să faci ce ţi se spune.
Have you been threatened or coerced into pleading guilty?,Ai fost amenințat sau forțat să pledezi vinovat?
I have never come across such a stubborn person.,Nu am întâlnit niciodată o persoană atât de încăpățânată.
Bob told Jane not to interfere in his personal affairs.,Bob i-a spus lui Jane să nu se amestece în treburile sale personale.
You always learn at Tatoeba!,Înveți mereu în Tatoeba!
"Translation is like a woman. If it is beautiful, it is not faithful. If it is faithful, it is most certainly not beautiful.","O traducere e ca o femeie. Dacă e frumoasă, nu e fidelă. Dacă e fidelă, nu este cu siguranţă frumoasă."
"In my free time, I write on my blog.",În timpul liber scriu pe blogul meu.
That animal feeds on flesh.,Acest animal se hrăneşte cu carne.
I broke my leg in a traffic accident.,Mi-am rupt piciorul într-un accident de mașină.
It doesn't mean anything.,Nu înseamnă nimic!
That is a serious oversight.,Aceasta este o neglijență serioasă.
Tom can speak three foreign languages.,Tom poate vorbi trei limbi străine.
There is not a physical explanation for this phenomenon yet.,Nu există încă o explicaţie fizică pentru acest fenomen.
"Tom is about the same age as you, I suppose.",Presupun că Tom este de aproximativ aceeași vârstă cu tine.
Speaking English isn't easy.,Nu este uşor să vorbeşti engleza.
Call on me if you need my assistance.,Cheamă-mă dacă ai nevoie de ajutorul meu.
This place isn't as safe as it used to be.,Locul asta nu este așa de sigur precum obișnuia să fie.
I study at the university.,Studiez la universitate.
My older brother knows how to drive.,Fratele meu mai mare știe să conducă mașina.
I'm used to these things.,M-am obișnuit cu situația.
That surprised Tom.,Asta l-a surprins pe Tom.
Why do people go to the movies?,De ce oamenii merg la film?
I'm very hungry.,Sunt foarte flămând.
You are hearing things.,Tu auzi lucruri.
The affair cost me many sleepless nights.,Acest subiect m-a costat multe nopți nedormite.
It was an intricate scheme to defraud the rightful heirs.,Era o schemă complexă pentru a înșela moștenitorii de drept.
I am reluctant to help him.,Sunt reticent în a-l ajuta.
My mouth is clean.,Gura mea este curată.
Keep away from Tom.,Stai la distanță de Tom.
"When in doubt, in favour of the accused.",Dubiul este în favoarea acuzatului.
Just give it to me.,Doar dă-mi-o.
You sent a letter from Algeria.,Ai trimis o scrisoare din Algeria.
He gave up his dream of becoming a pilot.,A renunţat la visul de a fi pilot.
I was asked to umpire the game.,Mi s-a cerut să arbitrez meciul.
English is studied all over the world.,Engleza este studiată în întreaga lume.
I didn't agree to pay Tom that much.,N-am fost de acord să-l plătesc pe Tom atât de mult.
General Jackson failed to capture any Indians.,Generalul Jackson a eșuat în a captura cel puțin un indian.
"I was leaving home, when it started to rain.","Plecam de acasă, când a început să plouă."
These shoes fit my feet.,Acești pantofi mi se potrivesc în picioare.
That's common knowledge.,Acestea sunt cunoștințe comune.
That's even worse.,Asta e și mai rău.
I'd rather do that some other time.,Mai degrabă aș face asta altădată.
What is psychology?,Ce este psihologia?
I eat an apple.,Mănânc un măr.
It's no longer necessary.,Nu mai este necesar.
It's easier said than done.,Este mai ușor de zis decât de făcut.
I think that I drank too much.,Cred că am băut prea mult.
He plays the piano well.,El cântă bine la pian.
He was sound asleep.,El dormea tun.
An opinion is shocking only if it is a conviction.,O opinie e șocantă doar dacă e convingere.
The paint is peeling off.,Vopseaua se scorojește.
She called me many times.,Ea m-a strigat de mai multe ori.
You must not come in.,Nu trebuie să intri.
Tom says he's not worried.,Tom spune că el nu este îngrijorat.
What is she drinking?,Ce bea?
Did you break the window on purpose or by accident?,Ai spart fereastra în mod intenționat sau din greșeală?
He is not a doctor but a teacher.,"Nu e doctor, ci profesor."
I don't like this one; show me another.,Nu-mi place asta; arătaţi-mi alta.
Tom has already signed the contract.,Tom a semnat deja contractul.
Tom left before Mary arrived.,Tom a plecat înainte ca Mary să sosească.
It's snowing.,Ninge!
Try not to repeat yourself.,Incearcă să nu te repeți.
You look pale today.,Arăți palid astăzi.
"Come here, little girl, sit down!","Vino aici, fetițo, stai jos!"
She's the manager.,Ea este managerul.
It won't hurt to wait a little longer.,Nu te-ar deranja să aștepți încă puțin.
I expect that he will help us.,Mă aștept că el ne va ajuta.
Where is the ship?,Unde este nava?
I get bored quickly in everything I do.,Mă plictisesc rapid de orice fac.
One of England's kings abdicated the throne in order to marry a commoner.,Unul din regii Angliei a abdicat pentru a se căsători cu o fată din popor.
This sentence contains several mistakes.,Propoziţia aceasta are câteva greşeli.
She has a well-proportioned figure.,Ea are o figură bine proporționată.
They like apples.,Lor le plac merele.
We work in a factory.,Noi lucrăm într-o fabrică.
You must be mindful of your family responsibilities.,Trebuie să fii conștiincios în ceea ce privește responsabilitățile familiale.
I think it's time to begin.,Cred că este timpul să începem.
Hurry!,Haide!
I opened the box out of curiosity.,"Din curiozitate, am deschis cutia."
I was feeling the same.,Am simțit la fel.
God grant that you come home safe and sound.,Să dea Domnul să te întorci acasă sănătos.
Everyone in town knows his name.,Toți din oraș îl cunosc după nume.
Life is hard.,Viața este greu.
Would you play with me?,Te-ai juca cu mine?
She cared for her son.,Ţinea la fiul ei.
You don't seem to have very many friends.,Se pare că nu am prea mulți prieteni.
He proofread my manuscript.,Mi-a corectat manuscrisul.
Why are they angry?,De ce sunt supărați?
We're all very proud of you.,Suntem cu toții foarte mândri de tine.
Books are scattered around the room.,Cărțile sunt împrăștiate prin cameră.
Glad to meet you!,Încântată de cunoștință!
My grandma is eighty years old.,Bunicuța mea are optzeci de ani.
We seem to have escaped from danger.,Se pare că am scăpat de pericol.
Keep in touch.,Ținem legătura.
How can you be so passive? Why don't you retaliate?,Cum poți fi atât de pasiv? De ce nu te răzbuni?
I'm so glad you're home.,Cât mă bucur că ai ajuns acasă.
Please let me know when Tom gets here.,Vă rog să mă anunțați când ajunge Tom aici.
His office is very close to mine.,Biroul lui este foarte aproape de al meu.
Meg didn't even look at me.,Meg nici nu s-a uitat la mine.
You had better go.,Ar fi bine să pleci.
Respond.,Răspunde.
You must keep your promise.,Trebuie să-ți ții promisiunea.
Do this at your leisure.,Faceți acest lucru în timpul vostru liber.
I wonder whether we'll be busy tomorrow.,Mă întreb dacă vom fi ocupați mâine.
I can't write in Chinese.,Nu pot scrie în chineză.
"Taro, go and brush your teeth.","Taro, du-te şi spală-te pe dinţi."
Is that understood?,S-a înțeles?
The empirical data from this experiment seems in line with the theoretical hypotheses.,"Datele empirice rezultate din acest experiment, par a fi în concordanță cu ipotezele teoretice."
"Come under my umbrella, or you'll get wet.",Veniți sub umbrela mea sau vă veți uda.
Don't sit on that bench.,Nu te așeza pe banca aceea.
Elephants are majestic animals.,Elefanții sunt animale maiestuoase.
He ate the apple.,El a mâncat mărul.
"I tripped on a stone, twisting my ankle.",M-am împiedicat de o piatră scrântindu-mi glezna.
This thing seems very plausible to me.,Acest lucru este foarte plauzibil pentru mine.
Tom knew who was trying to kill him.,Tom știa cine încerca să-l omoare.
It's raining.,Plouă!
Thanks.,Mulțumesc!
This is an emergency case.,Acesta este un caz urgent.
Her face turned pale.,Faţa ei s-a albit.
This table takes up too much space.,Această masă ocupă prea mult spațiu.
Our cow does not give milk to us.,Vaca noastră nu ne dă lapte.
I didn't want it to happen.,Nu am vrut să se întâmple asta.
Do it for my sake.,Fă-o de dragul meu.
He was subjected to torture by the police.,A fost supus torturii de către polițiști.
She makes it a rule to read a newspaper after breakfast.,A devenit o regulă pentru ea să citească un ziar după micul dejun.
Thank you very much for your help.,Îți mulțumesc foarte mult pentru ajutor.
Tom went to school by car.,Tom a mers la școală cu mașina.
Can you substantiate that claim?,Poți justifica această afirmație?
Maybe.,Poate.
It's never too late to learn.,Nu e niciodată prea târziu pentru a învăța.
We said that.,Am spus asta.
Dan didn't even cry.,Dan nici măcar nu a plâns.
"Every day, children at school would tell me that I was ugly and that no one wanted to be my friend.","În fiecare zi, copiii de la școală îmi spuneau că sunt urât și că nimeni nu dorește să-mi fie prieten."
I can easily read Spanish.,Pot citi cu uşurinţă în spaniolă.
The winters were bitterly cold.,Iernile au fost foarte friguroase.
It's really bright.,Este cu adevărat senin.
She made it plain that she wanted to go to college.,Ea a spus clar că vrea să meargă la facultate.
Tom is overwhelmed.,Tom este copleșit.
She is now eighty-one years old.,Ea are optzeci și unu de ani.
Would you like to drink a bit tonight?,Ai vrea să bei nițel diseară?
The girl broke the window.,Fata a spart fereastra.
You know everyone.,Îi știi pe toți.
Sometimes guys can be really stupid.,Câteodată băieții se comportă foarte stupid.
They have two daughters.,Ei au două fiice.
It's a pity that you can't buy miracles like you would buy potatoes.,E păcat că nu poți cumpăra miracole ca și când ai cumpăra cartofi.
They're sleeping like babies.,Ei dorm ca bebeluși.
Do you know where Tom is?,Știi unde este Tom?
The audience acclaimed the actors for their performance.,Publicul a ovaționat actorii pentru interpretarea lor.
The two villages adjoin each other.,Cele două sate sunt adiacente.
There used to be a coffee shop near the school.,Aproape de școală era o cafenea.
He will be very busy next month.,Va fi foarte ocupat lună viitoare.
Tom will probably be unbiased.,Probabil că Tom va fi imparțial.
I know this road well.,Știu bine acest drum.
The summit of the mountain is covered with fresh snow.,Vârful muntelui este acoperit cu zăpadă proaspătă.
Tom has plenty of options.,Tom are o mulțime de opțiuni.
I no longer like you.,Nu te mai plac.
That man is a soldier.,Acel bărbat e un soldat.
You're worse than Tom.,Ești mai rău decât Tom.
Kneel!,În genunchi!
Exceptions will be noted.,Se va ține cont de excepții.
Tom doesn't know why Mary was crying.,Tom nu știe de ce Mary plângea.
Watch your fingers!,Fii atent la degetele tale!
I was mildly disappointed.,Am fost puţin dezamăgită.
They'll all be fine.,Vor fi bine cu toţii.
The unemployment rate in Japan was 3.4 percent in September of 2015.,"Rata șomajului în Japonia a fost de 3,4 la sută în luna septembrie a anului 2015."
There was a cat on the table.,O pisică a fost pe masă.
Would you like a dog?,Vrei un câine?
Life is not static.,Viața nu este statică.
It's the best way to solve the problem.,Este cea mai bună cale de a rezolva problema.
Get out!,Pleacă de aici!
Do you know who invented the microscope?,Știi cine a inventat microscopul?
Tom still doesn't live in Boston.,Tom nu locuiește încă în Boston.
He has been busy.,A fost ocupat.
I can't explain it either.,Nici eu n-o pot explica.
What did she do with all the money?,Ce a făcut cu toţi banii?
This fish is not edible.,Acest pește nu este comestibil.
Come early so we can discuss the plans.,Vino devreme ca să putem discuta planurile.
I know him.,Îl cunosc.
Tom just left.,Tom tocmai a plecat.
This fish smells bad.,Acest peşte miroase urât.
"Give me the bill, please.","Aduceți-mi nota de plata, vă rog."
I brought some of my books to read.,Mi-am adus câteva cărți de citit.
Samuel and Michael were talking about a girl Bryan met in Brazil last year.,Samuel și Michael vorbeau despre o fată pe care Bryan a cunoscut-o în Brazilia anul trecut.
Tom doesn't like Mary's idea very much.,Lui Tom nu-i place ideea lui Mary prea mult.
It's a shame to stay indoors on a day like this.,Este o rușine să se rămână în casă într-o zi ca asta.
It is hardly raining.,De-abia plouă.
I wish to learn.,Doresc să învăţ.
Somebody has to be held accountable for his death.,Cineva trebuie să fie tras la răspundere pentru moartea sa.
I'm drinking water in the kitchen.,Beau apă în bucătărie.
Turn your bag inside out.,Întoarce punga pe dos.
Tom has returned from his trip.,Tom s-a întors din călătoria lui.
It's not pertinent.,Nu este relevant.
Three big men attacked him and stole his money.,Trei bărbaţi masivi l-au atacat şi i-au furat banii.
Tom knows who stole your car.,Tom știe cine ți-a furat mașina.
